transaction_id,transaction_date,store_id,store_name,region,city,product_name,category,unit_price_ghs,quantity,discount_pct,subtotal_ghs,discount_amount_ghs,total_ghs,payment_method,cashier_id,customer_id,age
TX10000,2023-10-07,STR001,Accra Central,Greater Accra,Accra,Power Bank,Electronics,242.14,3,0.1,726.42,72.64,653.78,Cash,CSH001,CUS0103,46.0
TX10001,2023-01-04,STR005,Tamale North,Northern,Tamale,Biscuits Pack,Grocery,19.36,8,0.05,154.88,7.74,147.14,Cash,CSH004,CUS0436,20.0
TX10002,2023-01-23,STR001,Accra Central,Greater Accra,Accra,Washing Powder 1kg,Household,26.54,6,0.05,159.24,7.96,151.28,Cash,CSH021,CUS0349,19.0
TX10003,2023-05-29,STR005,Tamale North,Northern,Tamale,Socks Pack 3,Clothing,37.61,2,0.0,75.22,0.0,75.22,MoMo,CSH012,CUS0271,65.0
TX10004,2023-11-28,STR002,Kumasi Main,Ashanti,Kumasi,Women Dress,Clothing,39.37,5,0.1,196.85,19.69,177.16,Bank Card,CSH009,CUS0107,47.0
TX10005,2023-06-11,STR005,Tamale North,Northern,Tamale,Milk Powder 400g,Grocery,35.87,1,0.0,35.87,0.0,35.87,Bank Card,CSH007,CUS0072,36.0
TX10006,2023-10-03,STR004,Tema Hub,Greater Accra,Tema,Air Freshener,Household,13.57,3,0.0,40.71,0.0,40.71,MoMo,CSH005,CUS0189,33.0
TX10007,2023-12-15,STR005,Tamale North,Northern,Tamale,Washing Powder 1kg,Household,50.35,2,0.0,100.7,0.0,100.7,MoMo,CSH018,CUS0021,44.0
TX10009,2023-11-08,STR002,Kumasi Main,Ashanti,Kumasi,Shampoo 300ml,Health & Beauty,48.4,5,0.15,242.0,36.3,205.7,MoMo,CSH030,CUS0122,43.0
TX10010,2023-06-07,STR001,Accra Central,Greater Accra,Accra,Sunscreen SPF30,Health & Beauty,28.92,2,0.0,57.84,0.0,57.84,Bank Card,CSH027,CUS0467,41.0
TX10011,2023-09-28,STR001,Accra Central,Greater Accra,Accra,Toothpaste 100g,Health & Beauty,10.55,8,0.05,84.4,4.22,80.18,Cash,CSH013,CUS0215,51.0
TX10012,2023-01-11,STR003,Takoradi Market,Western,Takoradi,Candles Pack,Household,32.09,4,0.0,128.36,0.0,128.36,Cash,CSH029,CUS0331,45.0
TX10013,2023-10-04,STR001,Accra Central,Greater Accra,Accra,Women Blouse,Clothing,70.44,5,0.1,352.2,35.22,316.98,MoMo,CSH026,CUS0459,38.0
TX10014,2023-08-28,STR004,Tema Hub,Greater Accra,Tema,Cooking Oil 5L,Grocery,6.78,7,0.0,47.46,0.0,47.46,Cash,CSH026,CUS0088,37.0
TX10015,2023-05-23,STR001,Accra Central,Greater Accra,Accra,Sugar 2kg,Grocery,10.42,8,0.0,83.36,0.0,83.36,Cash,CSH004,CUS0373,41.0
TX10016,2023-09-04,STR001,Accra Central,Greater Accra,Accra,Body Lotion 400ml,Health & Beauty,53.42,4,0.0,213.68,0.0,213.68,Cash,CSH009,CUS0100,29.0
TX10017,2023-09-07,STR004,Tema Hub,Greater Accra,Tema,Sneakers Size 40,Clothing,89.05,12,0.15,1068.6,160.29,908.31,MoMo,CSH024,CUS0360,49.0
TX10018,2023-01-30,STR003,Takoradi Market,Western,Takoradi,Smart TV 43in,Electronics,515.26,9,0.15,4637.34,695.6,3941.74,MoMo,CSH004,CUS0152,24.0
TX10019,2023-10-26,STR005,Tamale North,Northern,Tamale,Cornflakes 500g,Grocery,26.19,10,0.0,261.9,0.0,261.9,Cash,CSH005,CUS0131,58.0
TX10020,2023-10-16,STR003,Takoradi Market,Western,Takoradi,Plastic Basin,Household,60.74,2,0.0,121.48,0.0,121.48,MoMo,CSH003,CUS0150,53.0
TX10021,2023-12-01,STR002,Kumasi Main,Ashanti,Kumasi,Men Trousers,Clothing,34.09,9,0.1,306.81,30.68,276.13,Cash,CSH005,CUS0309,34.0
TX10022,2023-04-18,STR003,Takoradi Market,Western,Takoradi,Bluetooth Speaker,Electronics,642.65,3,0.0,1927.95,0.0,1927.95,Cash,CSH030,CUS0258,63.0
TX10023,2023-03-08,STR001,Accra Central,Greater Accra,Accra,LED Desk Lamp,Electronics,712.63,1,0.0,712.63,0.0,712.63,Cash,CSH003,CUS0344,34.0
TX10024,2023-03-07,STR002,Kumasi Main,Ashanti,Kumasi,Body Lotion 400ml,Health & Beauty,46.56,10,0.05,465.6,23.28,442.32,Cash,CSH012,CUS0492,60.0
TX10025,2023-11-14,STR002,Kumasi Main,Ashanti,Kumasi,Cooking Oil 5L,Grocery,16.79,9,0.15,151.11,22.67,128.44,Cash,CSH029,CUS0414,50.0
TX10026,2023-12-09,STR004,Tema Hub,Greater Accra,Tema,Wireless Earbuds,Electronics,637.93,6,0.15,3827.58,574.14,3253.44,Bank Card,CSH016,CUS0294,34.0
TX10027,2023-04-09,STR002,Kumasi Main,Ashanti,Kumasi,Oats 500g,Grocery,16.64,4,0.0,66.56,0.0,66.56,Cash,CSH017,CUS0386,24.0
TX10028,2023-05-16,STR004,Tema Hub,Greater Accra,Tema,Sunscreen SPF30,Health & Beauty,51.9,2,0.0,103.8,0.0,103.8,Cash,CSH017,CUS0192,62.0
TX10029,2023-09-24,STR001,Accra Central,Greater Accra,Accra,Mosquito Net,Household,16.4,1,0.1,16.4,1.64,14.76,Cash,CSH022,CUS0444,32.0
TX10030,2023-06-01,STR001,Accra Central,Greater Accra,Accra,Baseball Cap,Clothing,49.55,7,0.0,346.85,0.0,346.85,Cash,CSH020,CUS0277,53.0
TX10031,2023-08-09,STR005,Tamale North,Northern,Tamale,Sneakers Size 40,Clothing,73.89,1,0.0,73.89,0.0,73.89,Cash,CSH026,CUS0161,53.0
TX10032,2023-05-01,STR002,Kumasi Main,Ashanti,Kumasi,Power Bank,Electronics,459.94,11,0.05,5059.34,252.97,4806.37,Cash,CSH020,CUS0460,41.0
TX10033,2023-07-16,STR001,Accra Central,Greater Accra,Accra,Storage Box,Household,58.17,10,0.0,581.7,0.0,581.7,unknown,CSH025,CUS0314,53.0
TX10034,2023-10-13,STR001,Accra Central,Greater Accra,Accra,Dish Soap 750ml,Household,15.55,12,0.05,186.6,9.33,177.27,MoMo,CSH018,CUS0022,28.0
TX10035,2023-10-08,STR005,Tamale North,Northern,Tamale,Sandals,Clothing,80.49,12,0.05,965.88,48.29,917.59,Cash,CSH027,CUS0253,46.0
TX10036,2023-05-27,STR003,Takoradi Market,Western,Takoradi,Lip Balm,Health & Beauty,35.96,5,0.0,179.8,0.0,179.8,Cash,CSH013,CUS0236,54.0
TX10037,2023-02-01,STR002,Kumasi Main,Ashanti,Kumasi,Cooking Oil 5L,Grocery,19.18,6,0.05,115.08,5.75,109.33,MoMo,CSH028,CUS0345,64.0
TX10038,2023-08-03,STR005,Tamale North,Northern,Tamale,Air Freshener,Household,5.35,6,0.0,32.1,0.0,32.1,MoMo,CSH022,CUS0049,50.0
TX10039,2023-07-21,STR004,Tema Hub,Greater Accra,Tema,Oats 500g,Grocery,38.86,10,0.05,388.6,19.43,369.17,Cash,CSH013,CUS0475,19.0
TX10041,2023-11-15,STR002,Kumasi Main,Ashanti,Kumasi,Smart TV 43in,Electronics,652.16,4,0.0,2608.64,0.0,2608.64,Bank Card,CSH023,CUS0170,34.0
TX10042,2023-03-25,STR003,Takoradi Market,Western,Takoradi,Children Shorts,Clothing,79.8,12,0.1,957.6,95.76,861.84,Cash,CSH013,CUS0476,62.0
TX10043,2023-06-04,STR004,Tema Hub,Greater Accra,Tema,Cooking Oil 5L,Grocery,26.09,11,0.0,286.99,0.0,286.99,Cash,CSH012,CUS0188,40.0
TX10044,2023-08-10,STR001,Accra Central,Greater Accra,Accra,Sunscreen SPF30,Health & Beauty,4.65,7,0.15,32.55,4.88,27.67,MoMo,CSH017,CUS0464,21.0
TX10045,2023-10-31,STR003,Takoradi Market,Western,Takoradi,Face Wash,Health & Beauty,43.51,8,0.0,348.08,0.0,348.08,Bank Card,CSH008,CUS0271,65.0
TX10046,2023-06-16,STR004,Tema Hub,Greater Accra,Tema,Deodorant,Health & Beauty,38.08,6,0.0,228.48,0.0,228.48,MoMo,CSH023,CUS0190,48.0
